O1 O2 Oz PO3 PO7 P7 PO9 PO4 PO8 P8 PO10 ID emotion artifacts
9.398167 -30.64539 -21.68696 7.991092 9.561771 10.63823 9.579859 -41.80135 -26.23516 -26.94674 -17.4851 17 1 1
-14.01041 1.35829 -11.26164 -16.97838 -13.97644 -13.31105 -15.32784 -36.3568 -9.170106 -4.425417 0.2232287 17 1 1
6.809155 -21.39912 -4.810851 7.543743 5.430763 5.840359 7.164464 -1.324358 -3.658663 8.877678 11.52955 17 1 0
-30.80367 26.99204 3.152983 -30.57229 -29.7941 -30.69035 -28.46902 16.85264 48.66362 34.58465 23.459 17 1 0
-2.304577 -6.895012 -18.75398 -2.306918 -1.353069 -0.9939111 -0.8129359 -13.0394 -7.422749 -6.634909 2.673973 17 1 0
-45.60416 11.26331 -25.41896 -46.05879 -45.7531 -45.90847 -44.79274 31.78551 33.48087 31.34439 9.334008 17 1 1
21.14068 25.53312 17.20876 20.492 21.54665 22.33179 21.20207 9.85187 19.8248 26.77886 14.53398 17 1 0
-12.29234 21.56769 6.826887 -10.02389 -12.61655 -13.777 -13.07889 25.20349 28.85702 24.39203 19.09862 17 1 1
31.71301 -24.02028 2.204543 32.72615 31.52436 31.72879 32.75225 -5.007623 -24.1109 -24.96328 -22.09003 17 1 0
-30.06267 -18.72657 -11.41017 -29.74421 -30.03782 -30.57313 -31.57838 -55.75023 -49.27871 -28.76074 -14.48477 17 1 1
-13.22582 4.595351 5.762197 -13.59828 -13.37183 -13.06646 -12.41749 1.307867 9.242761 11.93062 14.99169 17 1 1
-3.549042 0.5026674 0.6393696 -1.794864 -3.695314 -3.496088 -3.818436 -3.491179 -3.417449 -19.45612 -7.718849 17 1 1
-13.5068 -23.54124 -25.07888 -14.12123 -14.45196 -13.5817 -13.88525 -13.00934 -19.4349 -29.78498 -17.32918 17 1 1
-20.66256 27.9896 -2.534326 -21.21348 -20.40339 -20.76317 -20.23315 17.56635 27.77938 23.03175 13.99626 17 1 0
28.58949 11.60786 16.62258 29.66122 27.40128 26.84776 25.85358 8.703744 -0.6252339 10.1136 5.871512 17 1 0
2.80909 -27.62889 3.985778 2.571837 2.606852 2.361983 3.588422 -11.22199 -23.22709 -23.78684 -2.843316 17 1 1
-11.1732 16.12614 -9.1037 -12.35157 -11.03748 -10.15563 -11.65519 25.52837 31.54932 45.8904 6.769549 17 1 0
10.24829 -36.93771 -28.55452 11.58908 11.11403 10.95654 10.63794 -19.81109 -40.65807 -30.86717 -29.5052 17 1 1
0.2542756 14.44593 3.404315 -0.6295319 -0.962297 -1.206466 -0.8483501 17.3648 33.18388 14.48133 8.380183 17 1 1
13.21549 20.91154 18.52069 15.0202 12.25861 13.46941 13.68218 14.28422 11.56701 1.619584 -3.514131 17 1 1
